player,match_date,opponent,runs,balls,wickets,overs,runs_conceded
DA Warner,2017-04-05,Royal Challengers Bangalore,14,8,0,0,0
S Dhawan,2017-04-05,Royal Challengers Bangalore,40,31,0,0,0
MC Henriques,2017-04-05,Royal Challengers Bangalore,52,37,0,0,0
Yuvraj Singh,2017-04-05,Royal Challengers Bangalore,62,27,0,0,0
DJ Hooda,2017-04-05,Royal Challengers Bangalore,16,12,0,0,0
BCJ Cutting,2017-04-05,Royal Challengers Bangalore,16,6,0,0,0
CH Gayle,2017-04-05,Sunrisers Hyderabad,32,21,0,0,0
Mandeep Singh,2017-04-05,Sunrisers Hyderabad,24,16,0,0,0
TM Head,2017-04-05,Sunrisers Hyderabad,30,22,0,0,0
KM Jadhav,2017-04-05,Sunrisers Hyderabad,31,16,0,0,0
SR Watson,2017-04-05,Sunrisers Hyderabad,22,17,0,0,0
Sachin Baby,2017-04-05,Sunrisers Hyderabad,1,3,0,0,0
STR Binny,2017-04-05,Sunrisers Hyderabad,11,10,0,0,0
S Aravind,2017-04-05,Sunrisers Hyderabad,0,2,0,0,0
YS Chahal,2017-04-05,Sunrisers Hyderabad,3,7,0,0,0
TS Mills,2017-04-05,Sunrisers Hyderabad,6,3,0,0,0
A Choudhary,2017-04-05,Sunrisers Hyderabad,6,2,0,0,0
TS Mills,2017-04-05,Sunrisers Hyderabad,0,0,1,4.0,32
A Choudhary,2017-04-05,Sunrisers Hyderabad,0,0,1,4.0,55
YS Chahal,2017-04-05,Sunrisers Hyderabad,0,0,1,4.0,22
S Aravind,2017-04-05,Sunrisers Hyderabad,0,0,0,3.0,36
SR Watson,2017-04-05,Sunrisers Hyderabad,0,0,0,3.0,41
TM Head,2017-04-05,Sunrisers Hyderabad,0,0,0,1.0,11
STR Binny,2017-04-05,Sunrisers Hyderabad,0,0,1,1.0,10
A Nehra,2017-04-05,Royal Challengers Bangalore,0,0,2,4.0,42
B Kumar,2017-04-05,Royal Challengers Bangalore,0,0,2,4.0,28
BCJ Cutting,2017-04-05,Royal Challengers Bangalore,0,0,1,3.7,35
Rashid Khan,2017-04-05,Royal Challengers Bangalore,0,0,2,4.0,36
DJ Hooda,2017-04-05,Royal Challengers Bangalore,0,0,1,1.0,7
MC Henriques,2017-04-05,Royal Challengers Bangalore,0,0,1,2.0,20
Bipul Sharma,2017-04-05,Royal Challengers Bangalore,0,0,1,1.0,4
PA Patel,2017-04-06,Rising Pune Supergiant,19,14,0,0,0
JC Buttler,2017-04-06,Rising Pune Supergiant,38,19,0,0,0
RG Sharma,2017-04-06,Rising Pune Supergiant,3,7,0,0,0
N Rana,2017-04-06,Rising Pune Supergiant,34,28,0,0,0
AT Rayudu,2017-04-06,Rising Pune Supergiant,10,12,0,0,0
KH Pandya,2017-04-06,Rising Pune Supergiant,3,5,0,0,0
KA Pollard,2017-04-06,Rising Pune Supergiant,27,17,0,0,0
HH Pandya,2017-04-06,Rising Pune Supergiant,35,15,0,0,0
TG Southee,2017-04-06,Rising Pune Supergiant,7,3,0,0,0
AM Rahane,2017-04-06,Mumbai Indians,60,34,0,0,0
MA Agarwal,2017-04-06,Mumbai Indians,6,5,0,0,0
SPD Smith,2017-04-06,Mumbai Indians,84,54,0,0,0
BA Stokes,2017-04-06,Mumbai Indians,21,14,0,0,0
MS Dhoni,2017-04-06,Mumbai Indians,12,12,0,0,0
AB Dinda,2017-04-06,Mumbai Indians,0,0,1,4.0,58
DL Chahar,2017-04-06,Mumbai Indians,0,0,0,2.0,21
BA Stokes,2017-04-06,Mumbai Indians,0,0,1,4.0,36
Imran Tahir,2017-04-06,Mumbai Indians,0,0,3,4.0,28
A Zampa,2017-04-06,Mumbai Indians,0,0,1,3.0,27
R Bhatia,2017-04-06,Mumbai Indians,0,0,2,3.0,14
TG Southee,2017-04-06,Rising Pune Supergiant,0,0,1,4.0,34
HH Pandya,2017-04-06,Rising Pune Supergiant,0,0,1,4.0,37
MJ McClenaghan,2017-04-06,Rising Pune Supergiant,0,0,1,4.0,36
JJ Bumrah,2017-04-06,Rising Pune Supergiant,0,0,0,4.0,29
KH Pandya,2017-04-06,Rising Pune Supergiant,0,0,0,2.0,21
KA Pollard,2017-04-06,Rising Pune Supergiant,0,0,0,1.8,30
JJ Roy,2017-04-07,Kolkata Knight Riders,14,12,0,0,0
BB McCullum,2017-04-07,Kolkata Knight Riders,35,24,0,0,0
SK Raina,2017-04-07,Kolkata Knight Riders,68,51,0,0,0
AJ Finch,2017-04-07,Kolkata Knight Riders,15,8,0,0,0
KD Karthik,2017-04-07,Kolkata Knight Riders,47,25,0,0,0
G Gambhir,2017-04-07,Gujarat Lions,76,48,0,0,0
CA Lynn,2017-04-07,Gujarat Lions,93,41,0,0,0
TA Boult,2017-04-07,Gujarat Lions,0,0,1,4.0,41
PP Chawla,2017-04-07,Gujarat Lions,0,0,1,4.0,33
SP Narine,2017-04-07,Gujarat Lions,0,0,0,4.0,33
CR Woakes,2017-04-07,Gujarat Lions,0,0,0,3.0,36
Kuldeep Yadav,2017-04-07,Gujarat Lions,0,0,2,4.0,25
YK Pathan,2017-04-07,Gujarat Lions,0,0,0,1.0,15
P Kumar,2017-04-07,Kolkata Knight Riders,0,0,0,2.0,13
DS Kulkarni,2017-04-07,Kolkata Knight Riders,0,0,0,2.8,42
MS Gony,2017-04-07,Kolkata Knight Riders,0,0,0,2.0,32
S Kaushik,2017-04-07,Kolkata Knight Riders,0,0,0,4.0,44
DR Smith,2017-04-07,Kolkata Knight Riders,0,0,0,1.0,23
SB Jakati,2017-04-07,Kolkata Knight Riders,0,0,0,3.0,30
AM Rahane,2017-04-08,Kings XI Punjab,19,15,0,0,0
MA Agarwal,2017-04-08,Kings XI Punjab,0,4,0,0,0
